continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
europe,doctorate,n,n,1662,1998,west,92235.44,year,y,1
asia,master's,n,n,1244,2011,south,14520.9,year,y,1
africa,doctorate,n,n,203,2012,south,73224.72,year,y,1
asia,bachelor's,y,n,1428,1990,west,70680.32,year,y,1
asia,high school,y,n,486,1993,midwest,37238.41,year,y,0
europe,master's,y,n,2989,1954,west,92859.85,year,y,1
europe,master's,y,n,4538,2008,south,85217.54,year,y,1
asia,bachelor's,y,n,3230,1875,south,133638.43,year,y,1
north america,high school,n,y,16398,2009,west,37111.35,year,y,0
asia,master's,n,n,6118,1973,south,104999.14,year,y,1
asia,doctorate,y,n,835,2005,west,18680.34,year,y,1
asia,bachelor's,y,n,612,1999,northeast,13784.14,year,y,0
asia,bachelor's,y,n,423,1981,south,32481.43,year,y,1
europe,bachelor's,y,y,2466,2012,south,84000.33,year,y,1
asia,bachelor's,n,n,1237,1951,west,118935.63,year,y,1
asia,master's,y,n,1260,1994,south,79706.11,year,y,1
north america,bachelor's,n,n,3247,1871,south,105.81,hour,y,1
north america,master's,y,n,1607,2004,south,38914.42,year,n,0
asia,bachelor's,y,n,226,2007,northeast,88631.26,year,y,1
asia,bachelor's,y,n,7242,1976,island,146930.79,year,y,0
asia,master's,y,n,2385,1981,northeast,40838.84,year,y,1
asia,bachelor's,n,y,3023,1983,south,100919.11,year,y,0
asia,high school,n,n,453,2005,west,144049.19,year,y,0
oceania,master's,n,n,17838,1916,midwest,21601.82,year,y,1
asia,master's,y,n,3135,1998,midwest,127826.35,year,y,1
asia,bachelor's,n,n,1245,1998,west,70210.23,year,y,0
north america,bachelor's,n,n,27752,2012,northeast,49474.81,year,y,1
asia,bachelor's,n,n,1801,2007,west,97827.48,year,y,1
asia,master's,y,n,1189,2011,midwest,144073.85,year,n,1
asia,high school,y,n,5630,2004,island,74317.59,year,y,0
asia,bachelor's,y,n,3863,2010,northeast,38911.5,year,y,1
asia,bachelor's,n,n,565,2014,west,110978.07,year,y,1
europe,doctorate,y,n,2495,1981,west,6322.71,year,y,1
asia,high school,n,n,468,1908,south,135214.46,year,y,0
north america,bachelor's,n,n,1432,2011,midwest,131073.31,year,y,0
north america,master's,y,n,252,1997,northeast,315.1887,hour,y,0
africa,bachelor's,y,n,20,2001,northeast,111258.59,year,y,1
asia,master's,n,n,2690,1994,south,33614.19,year,y,0
asia,master's,y,n,1244,2005,west,58441.15,year,y,1
asia,bachelor's,n,n,4432,1947,south,64360.03,year,y,0
asia,bachelor's,n,n,545,2007,northeast,117232.87,year,y,0
asia,bachelor's,y,n,264,2005,island,20764.9,year,y,0
asia,master's,y,n,696,2013,northeast,42278.32,year,y,1
north america,doctorate,y,n,2849,1997,midwest,111341.93,year,y,1
asia,bachelor's,y,n,2161,2005,south,85087.21,year,y,1
asia,bachelor's,n,n,2514,1955,midwest,95160.81,year,n,1
asia,high school,y,n,5044,1992,midwest,21512.8,year,y,0
asia,high school,n,n,291,2009,midwest,100411.0,year,y,0
asia,master's,y,n,1312,2005,northeast,90584.07,year,y,1
south america,high school,n,n,2265,2000,northeast,94661.15,year,y,0
asia,bachelor's,y,n,3977,1958,northeast,60427.61,year,y,1
europe,bachelor's,y,n,417,1994,midwest,27729.73,year,y,0
north america,bachelor's,y,n,3735,2004,northeast,37010.67,year,y,1
europe,bachelor's,y,n,1045,1994,west,64319.18,year,y,1
asia,master's,n,n,66191,1996,south,119908.2,year,n,0
north america,master's,n,n,2008,2011,northeast,41882.14,year,y,1
europe,master's,y,n,874,1994,west,4972.57,year,y,1
north america,bachelor's,y,n,2721,2005,west,117435.29,year,y,1
asia,master's,n,n,1549,2000,south,68783.26,year,y,1
south america,doctorate,n,n,885,1979,west,42035.83,year,y,1
africa,doctorate,n,n,94603,1998,northeast,93086.78,year,y,1
north america,high school,n,n,1046,1999,west,660.5249,hour,y,0
oceania,bachelor's,n,n,1031,2012,south,539.8384,hour,y,0
asia,bachelor's,y,n,565,1981,northeast,67954.04,year,y,1
asia,bachelor's,y,n,4208,1896,west,13271.74,year,y,1
asia,master's,y,n,3529,1986,west,20871.22,year,y,1
europe,high school,y,n,2928,1809,northeast,56994.42,year,y,0
asia,master's,y,n,5275,2005,midwest,28085.45,year,y,1
north america,bachelor's,y,n,2404,2007,island,108299.04,year,y,1
europe,bachelor's,y,n,5208,2011,south,6148.67,year,y,1
asia,master's,y,n,794,2008,midwest,124591.19,year,y,1
north america,bachelor's,n,n,400,1949,midwest,112393.59,year,y,1
asia,bachelor's,y,n,699,2007,northeast,34075.74,year,y,1
asia,bachelor's,n,n,6768,1998,west,6287.2,year,y,1
asia,bachelor's,y,n,4495,1962,south,149141.18,year,y,0
asia,bachelor's,y,n,4468,1972,island,175553.7,year,y,0
asia,bachelor's,n,n,1222,2005,midwest,2795.57,year,y,0
asia,master's,y,n,2210,2000,midwest,201167.69,year,y,1
asia,master's,y,n,3589,2007,south,117373.35,year,y,1
europe,doctorate,n,y,1166,1996,midwest,54170.04,year,y,1
asia,bachelor's,y,n,553,2005,south,65663.94,year,y,1
north america,master's,y,n,1663,2011,south,114454.78,year,n,1
europe,master's,y,n,2652,2005,west,27198.0,year,y,1
asia,bachelor's,n,n,68,2004,south,28485.5,year,y,1
europe,master's,y,n,220,1984,northeast,105082.98,year,y,1
asia,bachelor's,n,n,1430,1887,south,106032.13,year,y,0
asia,high school,y,y,122255,2014,south,42048.73,year,y,0
asia,bachelor's,n,n,2879,2000,south,129425.05,year,y,1
asia,bachelor's,y,n,22558,1946,south,286.2916,hour,y,0
asia,master's,y,n,1776,2008,south,113623.12,year,n,1
north america,master's,y,n,424,2011,west,39100.04,year,y,1
asia,doctorate,n,y,640,1989,south,139230.07,year,y,1
asia,high school,y,n,3592,1868,west,47266.59,year,y,0
asia,master's,y,n,1690,1838,south,253.7681,hour,y,1
north america,master's,n,n,3820,1976,northeast,95217.89,year,n,1
asia,bachelor's,y,n,92780,2012,west,250163.1,year,y,1
europe,bachelor's,y,n,5312,1999,west,40063.69,year,y,1
asia,master's,n,n,2277,2014,northeast,62245.87,year,y,1
asia,bachelor's,n,n,3275,2006,northeast,128330.67,year,n,0
asia,master's,n,n,400,1838,midwest,39184.99,year,n,1
europe,doctorate,y,n,2687,1998,northeast,27874.08,year,y,1
europe,bachelor's,y,n,412,1989,south,106044.61,year,y,1
europe,bachelor's,y,y,1787,2012,south,114076.97,year,y,1
south america,bachelor's,n,y,187,2009,northeast,80239.66,year,y,0
asia,master's,y,n,1743,1913,northeast,145680.8,year,n,1
africa,bachelor's,n,n,2651,2006,west,268713.5,year,y,1
asia,master's,n,n,333,1925,south,29031.81,year,y,0
asia,master's,y,n,4653,1989,south,153894.33,year,n,1
europe,master's,n,n,2504,2001,south,67130.63,year,y,1
asia,master's,y,n,1867,1999,south,71548.97,year,y,1
asia,bachelor's,y,n,730,2007,midwest,42054.93,year,n,1
asia,master's,n,n,2297,1817,south,182.58,hour,y,1
asia,master's,y,n,2820,1869,northeast,99639.81,year,n,1
europe,master's,y,n,2936,1998,northeast,46086.74,year,y,1
asia,bachelor's,n,n,1844,1998,south,111089.61,year,y,1
asia,bachelor's,n,y,19023,2000,west,73834.29,year,y,0
europe,master's,y,y,2455,2006,west,111875.37,year,y,1
asia,master's,y,n,3659,2006,northeast,50325.12,year,y,1
asia,master's,y,n,2638,1892,south,139520.5,year,n,1
asia,master's,y,n,497,2007,northeast,110561.9,year,y,1
north america,bachelor's,y,n,3022,1869,northeast,405.678,hour,y,1
asia,bachelor's,y,n,495,1951,island,42275.12,year,y,1
asia,master's,y,n,2958,1854,south,120962.27,year,y,1
south america,master's,n,y,2744,2007,northeast,111952.66,year,y,1
asia,bachelor's,y,n,3512,1965,midwest,94322.48,year,y,0
asia,bachelor's,n,n,2502,2005,northeast,173363.71,year,y,1
asia,bachelor's,n,y,2485,2012,south,129987.35,year,y,1
asia,master's,y,n,100377,1988,south,87493.97,week,y,1
asia,master's,y,n,857,2001,midwest,117750.3,year,y,1
asia,bachelor's,y,n,5076,2000,south,82394.86,year,y,1
europe,master's,y,n,785,1934,west,28778.55,year,y,1
asia,master's,n,n,1768,1965,northeast,49844.77,year,y,1
asia,master's,y,n,6262,2013,west,115861.47,year,n,0
asia,bachelor's,n,n,5210,1966,west,73056.2,year,y,1
asia,bachelor's,y,y,20916,1999,south,129139.75,year,y,0
asia,master's,n,n,2589,2008,midwest,103365.61,year,y,1
europe,master's,y,n,1830,1996,south,39778.92,year,y,1
europe,bachelor's,n,n,4724,1977,west,54019.81,year,y,1
asia,bachelor's,n,n,8938,2010,west,80593.46,year,y,0
europe,doctorate,y,n,3524,1978,west,72737.66,year,y,1
north america,doctorate,n,n,1912,2007,west,50251.04,year,y,1
asia,master's,n,n,2604,2013,midwest,84049.1,year,n,1
asia,doctorate,y,y,1271,2005,south,18663.73,year,y,1
europe,doctorate,y,n,2644,2004,west,41850.56,year,y,1
asia,master's,n,n,2702,1951,south,268737.76,year,n,0
north america,bachelor's,y,n,2980,2012,northeast,19170.63,year,y,0
asia,master's,y,n,603,1994,northeast,129.35,hour,y,1
asia,bachelor's,y,n,1456,1978,west,44180.77,year,y,0
north america,bachelor's,y,n,3351,1998,west,166422.14,year,y,0
oceania,bachelor's,n,n,2329,1981,south,77716.72,year,y,0
asia,bachelor's,y,n,232,2005,west,51762.79,week,y,1
asia,high school,n,n,2253,1988,northeast,971.1404,hour,y,0
south america,bachelor's,n,n,18,2010,south,125539.15,year,y,0
south america,master's,y,y,3690,1890,south,60670.13,year,y,1
asia,master's,y,n,4100,1996,west,47658.9,year,y,1
asia,master's,n,n,2428,2004,west,73667.37,year,y,1
asia,master's,y,n,90,2006,northeast,87806.67,year,y,1
asia,bachelor's,y,n,1062,2001,northeast,146204.36,year,y,1
asia,bachelor's,y,y,3057,1917,midwest,31267.45,year,y,1
asia,bachelor's,y,y,2558,2005,west,73701.55,year,y,1
north america,doctorate,n,n,2835,1998,west,75882.75,week,y,1
north america,doctorate,n,n,4979,2005,west,39449.22,year,y,1
asia,high school,y,y,1845,1973,south,65864.8,year,y,0
south america,bachelor's,y,n,4877,1918,south,69479.59,year,y,1
asia,master's,y,n,195,1993,south,106743.79,year,y,1
asia,master's,y,n,1699,1991,northeast,134648.35,year,y,1
africa,high school,y,n,1885,2004,west,71690.13,year,y,0
europe,high school,n,n,1468,1994,northeast,10772.92,year,y,0
asia,high school,n,n,2370,2003,south,7557.62,year,n,0
europe,doctorate,n,n,471,2012,west,38175.55,year,y,1
asia,bachelor's,n,n,2821,1983,midwest,78559.59,year,y,1
north america,bachelor's,y,n,762,1962,south,29185.23,year,y,0
north america,bachelor's,n,y,1578,1996,south,105963.02,year,y,0
asia,high school,y,n,1751,1968,midwest,22916.38,year,y,0
asia,bachelor's,n,n,2801,1996,northeast,278409.92,year,y,1
asia,bachelor's,y,n,3865,1995,midwest,41147.88,year,y,1
asia,bachelor's,y,n,606,2006,northeast,181682.45,year,n,0
europe,bachelor's,y,n,1400,1837,west,43057.14,year,y,0
north america,master's,y,n,395,1977,west,49157.57,year,y,1
asia,bachelor's,n,n,13763,1997,west,101614.83,year,y,0
north america,master's,n,n,5002,1997,west,102319.91,year,y,0
asia,bachelor's,n,n,3062,2003,west,144745.09,year,y,1
asia,master's,y,n,1610,2008,west,22479.42,year,y,1
asia,master's,n,n,1582,1938,south,186664.97,year,y,0
north america,master's,y,n,4212,1946,south,97240.58,year,y,1
asia,high school,n,n,2567,1980,midwest,104528.42,week,y,0
asia,bachelor's,n,y,1795,1983,south,58994.27,year,y,1
asia,bachelor's,y,n,2343,1997,island,117346.34,year,y,0
europe,doctorate,y,y,1252,2001,south,72865.15,year,y,1
asia,high school,y,n,1152,1993,northeast,984.9462,hour,y,0
asia,bachelor's,n,n,1801,1911,midwest,121447.53,year,y,0
asia,bachelor's,y,n,31378,2005,south,124823.44,year,n,1
asia,master's,y,n,2504,2003,northeast,72007.78,year,y,1
europe,bachelor's,y,n,3057,1999,south,95249.45,year,y,0
asia,bachelor's,y,n,424,2006,west,8935.83,year,y,1
asia,high school,y,n,3412,1977,northeast,14537.3,year,y,0
asia,bachelor's,y,n,1322,1985,northeast,52459.78,year,y,1
asia,bachelor's,n,n,3590,2001,northeast,50866.22,year,y,1
north america,high school,y,y,2668,1870,northeast,122912.17,year,y,0
asia,master's,n,y,3771,1999,south,53909.06,year,y,1
asia,master's,n,n,2043,1972,midwest,205144.51,year,y,1
asia,master's,n,n,1043,1968,south,138907.75,year,y,1
asia,master's,n,y,2026,2006,south,162601.04,year,y,1
asia,master's,n,n,1140,1981,west,153854.63,year,y,1
asia,doctorate,n,n,605,1996,northeast,17.4747,hour,y,1
asia,doctorate,n,n,1415,2008,northeast,151152.74,year,y,1
europe,bachelor's,y,n,4663,1961,west,76748.48,year,y,1
asia,bachelor's,y,n,896,1994,northeast,66628.36,year,y,1
europe,doctorate,y,y,5297,1998,west,38086.35,year,y,1
asia,master's,y,n,151090,2000,west,71869.19,year,y,1
north america,master's,y,n,1785,2004,west,10467.38,year,y,0
asia,doctorate,y,n,969,1994,west,87770.01,year,y,1
north america,bachelor's,n,n,3876,1987,west,76595.55,year,y,0
asia,bachelor's,y,n,2742,1987,west,122376.73,year,y,0
europe,doctorate,y,n,1885,1999,northeast,14515.06,year,y,1
asia,bachelor's,n,n,512,1950,northeast,61246.03,year,y,0
asia,master's,y,n,4231,2004,northeast,6008.79,year,y,1
asia,master's,y,n,13012,1971,south,89364.3,year,y,1
asia,master's,n,n,337,1882,midwest,94052.35,year,y,1
north america,master's,y,n,3356,1960,south,38988.27,year,y,1
europe,doctorate,y,n,128164,1992,west,43292.97,year,y,1
asia,high school,y,n,852,1953,west,19115.69,year,y,0
asia,master's,n,n,1510,1997,midwest,162336.89,year,y,1
asia,high school,y,n,2311,1980,northeast,72749.0,year,y,0
asia,high school,y,n,293,1997,midwest,108513.62,year,y,0
africa,bachelor's,n,n,2811,2007,midwest,153272.22,year,y,1
europe,master's,y,n,1552,1998,west,77243.1,year,y,1
asia,bachelor's,n,y,2227,2006,south,183528.79,year,y,1
asia,bachelor's,y,n,673,2005,south,112604.15,year,y,1
asia,high school,y,n,3372,1885,midwest,125384.93,year,y,0
north america,bachelor's,n,n,2820,1968,south,274.3672,hour,y,1
oceania,bachelor's,n,n,3215,1986,west,45294.27,year,y,1
asia,master's,y,y,988,2002,northeast,74497.73,year,y,0
asia,bachelor's,y,n,913,1832,west,12165.84,year,y,1
europe,bachelor's,n,y,5789,1962,west,25551.75,year,y,1
asia,master's,y,y,626,1981,south,86265.1,year,y,1
asia,bachelor's,n,n,1174,1998,west,26669.46,year,y,0
europe,bachelor's,y,n,2732,1969,west,155571.5,year,y,1
europe,master's,n,n,1446,2000,west,511.5375,hour,y,0
asia,master's,n,n,17057,2009,midwest,445.4899,hour,n,1
asia,master's,y,n,497,2013,midwest,108175.41,year,y,1
asia,bachelor's,y,n,2732,2001,west,466.4959,hour,y,0
north america,master's,y,n,2316,2004,south,35361.6,year,n,1
asia,master's,y,n,1228,2005,midwest,128505.27,year,y,1
europe,master's,y,n,776,2003,northeast,94497.67,year,y,1
europe,high school,n,n,1247,1899,west,91248.15,year,y,0
oceania,master's,n,n,5459,1989,northeast,107694.32,year,y,1
north america,master's,n,n,1215,2002,south,134875.89,year,n,1
asia,master's,y,y,3387,2005,west,57710.67,year,y,1
europe,master's,n,n,1088,2010,northeast,28730.34,year,y,0
north america,master's,y,n,881,1988,south,81375.15,year,n,1
north america,master's,y,n,3583,1990,south,21255.82,year,n,1
asia,high school,y,n,4655,2003,northeast,193804.42,year,y,0
asia,master's,y,n,4567,1899,northeast,87835.49,year,y,1
north america,bachelor's,n,n,1008,1838,northeast,72620.02,year,y,0
asia,bachelor's,y,n,2712,1908,northeast,52440.56,year,y,1
asia,doctorate,n,y,163,1999,west,59976.26,year,y,1
asia,bachelor's,n,n,72,2007,northeast,33764.59,year,y,1
asia,bachelor's,n,n,2848,1935,northeast,126381.75,year,y,1
asia,bachelor's,n,n,1863,1998,south,83519.71,year,n,1
europe,bachelor's,y,y,364,2013,west,223098.15,year,n,1
europe,bachelor's,y,n,2175,1890,west,26619.76,year,y,0
north america,bachelor's,y,n,2429,2003,northeast,134620.48,year,y,0
asia,master's,n,n,3586,1997,south,106507.67,year,y,1
asia,master's,y,n,1985,2004,west,180523.3,year,y,1
north america,bachelor's,y,n,730,2002,northeast,55038.17,year,y,1
europe,bachelor's,y,n,91,2011,northeast,55521.05,year,y,1
north america,bachelor's,y,n,88326,2007,south,20954.21,year,y,1
asia,high school,y,n,1977,2008,midwest,96574.05,year,y,0
asia,high school,y,n,450,1961,south,210178.49,year,y,0
asia,doctorate,n,n,4415,2001,west,27726.14,year,y,1
asia,bachelor's,y,y,364,1975,south,67538.01,year,y,0
north america,bachelor's,y,n,5292,2003,west,95254.97,year,y,0
asia,master's,y,y,955,2008,west,30330.76,year,y,1
asia,bachelor's,y,n,1264,2011,northeast,122890.56,year,y,1
asia,doctorate,n,n,475,1992,midwest,153.77,hour,y,1
south america,high school,y,n,657,1968,west,375.6034,hour,y,0
asia,doctorate,n,y,1019,1997,west,93896.64,year,y,1
asia,high school,n,y,1199,2009,west,103.07,hour,y,0
europe,master's,n,n,780,2012,northeast,19237.84,year,y,1
asia,bachelor's,n,n,3692,2000,west,126070.95,year,y,0
asia,bachelor's,y,n,2373,1921,midwest,98082.52,year,y,0
north america,master's,n,n,2018,2008,midwest,209700.47,year,y,1
europe,master's,y,n,1068,1998,south,12994.79,year,y,1
europe,bachelor's,n,n,1961,1964,midwest,90028.66,year,y,0
asia,master's,y,n,2162,1984,south,43592.56,year,y,1
asia,high school,y,n,399,1968,midwest,51978.65,year,y,0
asia,high school,n,n,3872,1979,south,21942.33,year,y,0
asia,bachelor's,y,n,1815,1996,south,38440.07,year,y,1
asia,master's,n,n,2481,1991,midwest,81638.57,year,y,1
europe,doctorate,n,n,4190,2007,south,26008.97,year,y,1
africa,bachelor's,y,n,520,1997,midwest,55753.89,year,y,1
asia,bachelor's,y,n,5225,1945,midwest,63628.06,year,y,1
asia,master's,y,n,4669,1998,midwest,23099.83,year,y,1
asia,bachelor's,y,n,206,1985,northeast,57772.86,year,y,0
asia,master's,y,n,65,2005,midwest,88493.66,year,y,1
asia,master's,n,n,235,2007,south,377.4307,hour,y,0
asia,master's,n,n,4746,2003,midwest,127706.35,year,n,1
asia,master's,y,y,500,2002,west,87724.74,year,y,1
asia,master's,n,n,4493,2013,midwest,96280.2,week,y,1
asia,doctorate,y,n,25255,2001,midwest,157034.33,year,y,1
asia,bachelor's,y,n,5819,2003,northeast,72190.04,year,y,1
europe,master's,y,n,3544,1914,northeast,108105.56,year,y,1
north america,master's,y,n,1713,2015,midwest,9586.46,year,n,0
asia,high school,n,n,710,1928,midwest,92290.35,year,y,0
europe,master's,n,n,493,1954,west,32562.11,year,y,1
north america,master's,n,n,439,1983,west,276.646,hour,y,1
europe,bachelor's,y,n,2507,1998,west,90000.77,year,y,1
asia,bachelor's,n,n,1203,2007,midwest,115527.9,year,y,1
asia,master's,n,n,2836,2010,northeast,57565.61,year,n,1
asia,master's,y,n,4202,2000,midwest,112676.37,year,y,1
north america,bachelor's,n,n,4668,1995,northeast,525.9312,hour,y,0
europe,master's,n,n,3443,1985,west,540.2809,hour,y,0
asia,master's,n,n,1996,2005,midwest,158199.96,year,y,1
asia,doctorate,y,y,2292,1984,west,82907.88,year,y,1
europe,bachelor's,n,y,2991,2001,south,87968.27,year,y,1
asia,high school,y,n,711,1978,northeast,142.8752,hour,y,0
asia,bachelor's,n,n,886,1993,midwest,637.4872,hour,y,1
europe,master's,y,y,1733,2013,west,7343.65,year,y,1
oceania,high school,n,n,4332,2005,northeast,110241.0,year,y,0
europe,high school,n,n,4068,2011,south,56972.93,year,y,0
asia,master's,y,n,5617,1980,northeast,117949.61,year,y,1
asia,bachelor's,y,n,3725,1993,midwest,134790.91,year,y,1
asia,master's,y,n,5388,2006,west,12316.36,year,y,1
asia,bachelor's,y,n,537,1996,south,70725.4,year,y,0
north america,bachelor's,n,n,2494,1977,northeast,41.759,hour,y,0
europe,master's,y,y,581,1873,northeast,128559.73,year,y,1
europe,master's,n,n,3977,1960,west,51455.45,year,y,1
asia,high school,y,n,558,1994,midwest,76049.2,year,y,0
asia,bachelor's,y,n,763,1986,south,68709.37,year,y,0
asia,bachelor's,y,n,1336,2003,northeast,41345.1,year,y,1
asia,doctorate,n,n,563,1984,northeast,11828.57,year,y,1
south america,bachelor's,n,n,2316,2002,west,63313.99,year,y,0
asia,bachelor's,y,n,3232,2005,south,113268.46,year,y,0
north america,master's,y,n,3881,2007,midwest,6647.19,year,y,1
asia,bachelor's,n,n,1478,1834,northeast,144806.4,year,y,0
asia,master's,n,n,3901,1911,west,126744.18,year,y,0
europe,bachelor's,n,n,3674,1994,northeast,58784.81,month,y,1
europe,master's,y,y,778,1987,northeast,85052.9,year,y,1
asia,bachelor's,y,n,1882,2000,northeast,126122.47,year,y,1
oceania,high school,n,n,2644,2000,northeast,15283.54,year,y,0
asia,bachelor's,y,n,2511,1848,south,147118.25,year,y,0
asia,high school,y,n,6170,1999,northeast,175073.16,year,y,0
asia,high school,n,y,26592,1984,west,102254.44,year,y,0
europe,bachelor's,n,n,2825,1996,south,67814.2,year,y,0
asia,bachelor's,y,y,932,2001,west,152018.72,year,y,1
asia,bachelor's,n,n,779,1880,northeast,59167.83,year,y,0
asia,bachelor's,n,n,2198,1984,south,148729.09,year,y,1
europe,bachelor's,n,n,2913,2001,northeast,10734.79,year,y,0
north america,master's,y,n,4802,1943,south,144156.27,year,n,0
asia,master's,y,n,352,1995,northeast,261496.17,year,n,1
europe,bachelor's,n,y,1003,1997,northeast,48428.17,year,y,1
north america,high school,y,n,385,1824,northeast,58.3954,hour,y,0
asia,high school,n,n,4444,2011,midwest,81046.98,year,y,0
asia,master's,y,n,216,2011,midwest,51933.79,year,y,1
asia,master's,n,n,3006,2004,south,65865.69,year,y,0
north america,master's,y,n,691,1992,midwest,147430.45,year,y,1
asia,master's,n,n,1169,2001,midwest,239894.57,year,n,1
asia,bachelor's,y,n,2113,1966,south,44737.35,year,y,1
europe,master's,y,n,1704,1971,midwest,97838.47,year,y,1
asia,bachelor's,y,n,4436,2003,midwest,111.74,hour,y,0
asia,high school,y,n,826,2005,northeast,976.3034,hour,y,0
asia,bachelor's,y,n,3197,1998,south,82948.63,year,y,1
asia,high school,y,n,214,2001,south,8358.68,year,y,0
north america,master's,n,n,2782,2003,northeast,44908.7,year,y,1
africa,doctorate,y,n,2004,1913,island,32638.49,year,y,1
asia,high school,y,n,1156,2004,northeast,483.0851,hour,y,0
asia,bachelor's,y,n,1883,2006,northeast,82683.14,year,y,1
asia,master's,n,n,477,1996,northeast,73380.67,year,y,1
asia,master's,y,n,1663,1999,south,14619.13,year,y,1
asia,master's,y,n,1048,1987,northeast,20197.99,year,y,1
asia,high school,y,n,3768,1984,midwest,120609.28,year,y,0
asia,bachelor's,y,n,2639,2015,northeast,123120.05,year,y,1
asia,master's,y,n,763,1998,south,37938.34,year,y,1
asia,master's,y,n,1870,1998,midwest,275.0627,hour,y,1
asia,bachelor's,n,y,3326,1904,south,64660.24,year,y,1
asia,master's,n,n,3425,2005,midwest,130817.72,year,y,1
asia,master's,y,y,2401,2004,northeast,54400.64,year,y,1
asia,master's,y,n,2539,1993,west,458.9084,hour,y,1
asia,master's,n,n,1626,1982,northeast,65059.64,year,y,1
asia,bachelor's,n,n,32,1975,west,77872.41,year,y,1
europe,high school,y,n,1219,2011,west,89274.52,year,y,0
asia,high school,n,n,2113,1863,midwest,82114.05,year,y,0
north america,bachelor's,y,n,2617,2005,south,17298.01,year,y,0
asia,master's,y,n,4028,2003,northeast,52214.04,year,y,1
europe,high school,y,n,2685,2008,south,52613.73,year,y,0
europe,bachelor's,n,n,2879,1981,south,110905.75,year,y,1
north america,master's,n,n,1103,1977,south,112837.39,year,y,0
asia,master's,n,n,3704,2001,northeast,79715.64,year,n,1
asia,bachelor's,y,n,2405,1999,midwest,122108.51,year,y,0
asia,master's,n,n,580,2007,west,105.22,hour,y,0
asia,bachelor's,n,n,1410,2007,northeast,70628.78,year,y,0
north america,bachelor's,n,n,306,1989,west,112461.1,year,y,1
asia,high school,y,n,4348,2007,south,100629.12,year,y,0
europe,high school,n,n,5284,1997,northeast,47037.14,year,y,0
asia,doctorate,y,n,1399,1883,northeast,52262.38,week,y,1
north america,bachelor's,y,y,987,1961,south,64279.29,year,y,0
asia,bachelor's,y,n,1498,2005,south,28118.85,year,y,0
asia,master's,y,n,3723,1920,northeast,31395.42,year,y,1
asia,master's,n,y,2295,1997,south,109208.02,year,y,1
europe,master's,y,n,1438,2013,west,119724.17,year,n,0
north america,master's,n,y,1679,1900,south,57362.43,year,y,1
asia,bachelor's,y,y,635,2013,west,10903.12,year,y,1
asia,bachelor's,y,y,907,2006,south,114717.93,year,y,1
asia,master's,y,n,758,1858,south,144178.52,year,y,1
north america,master's,n,n,2899,1978,west,42659.58,year,n,1
asia,bachelor's,n,y,6054,1903,south,85446.1,year,y,1
asia,master's,y,n,1131,2000,midwest,139741.3,year,y,1
europe,master's,n,y,1205,1985,south,139757.4,year,y,1
north america,master's,y,n,3115,1999,south,306206.67,year,n,0
asia,high school,y,n,4497,1998,south,39848.02,year,y,0
south america,master's,n,n,28007,1975,south,56242.04,year,y,1
asia,bachelor's,n,n,4990,2001,northeast,132488.3,year,y,1
asia,master's,n,n,704,2004,northeast,127403.07,year,n,1
asia,bachelor's,y,n,21,2000,west,76826.46,year,y,0
asia,high school,n,n,1382,1981,northeast,85126.96,week,y,0
asia,bachelor's,n,y,1248,2010,south,67277.93,year,y,1
asia,master's,n,n,768,1997,midwest,114093.07,year,y,1
asia,bachelor's,n,n,392,1975,midwest,151161.36,year,y,1
asia,master's,n,n,533,2007,midwest,74506.35,year,y,1
asia,bachelor's,y,y,3494,1977,northeast,65972.28,year,y,1
europe,doctorate,y,n,87,2008,south,1670.31,year,y,1
asia,bachelor's,y,n,327,2008,south,137841.21,year,y,0
asia,high school,n,n,2141,2000,island,115.91,hour,y,0
europe,bachelor's,y,n,2459,1975,south,154676.05,year,n,1
europe,doctorate,n,n,483,1928,midwest,10719.6,year,y,1
asia,master's,n,n,13572,1947,west,97113.76,year,y,0
asia,bachelor's,y,n,3233,1994,northeast,76233.53,year,y,1
asia,bachelor's,y,n,3907,2011,west,124798.99,year,y,1
asia,bachelor's,y,n,1604,2000,west,120687.37,year,y,1
asia,bachelor's,y,n,1868,1977,south,77269.15,year,y,1
asia,master's,y,n,163,2000,northeast,54620.95,year,y,1
asia,doctorate,n,n,3446,1902,northeast,19796.55,year,y,1
asia,bachelor's,n,n,1351,1997,midwest,89228.61,year,y,1
asia,bachelor's,y,y,149,2000,south,109057.27,year,y,0
europe,master's,n,n,3718,1997,west,69024.54,year,y,1
asia,bachelor's,y,n,4463,1989,south,187052.55,year,y,1
asia,doctorate,n,n,768,2010,west,82677.17,year,y,1
europe,bachelor's,y,n,655,1914,west,294.402,hour,y,0
africa,master's,n,n,2910,1911,midwest,12404.7,year,y,1
europe,bachelor's,y,n,1729,1998,northeast,119477.77,year,y,1
asia,master's,y,n,1763,1920,midwest,14745.12,year,y,1
asia,master's,n,n,171,2014,northeast,591.2167,hour,y,0
asia,high school,n,n,3107,1841,island,154.1,hour,y,0
asia,bachelor's,y,n,721,1997,west,112224.51,year,y,1
asia,master's,y,n,11859,1979,island,106146.33,year,y,1
asia,bachelor's,n,n,3100,1976,west,115269.43,year,y,1
europe,bachelor's,y,n,3253,2001,west,4882.17,year,y,1
